# ip	cpe	total
95.216.205.179	cpe:2.3:a:digium:asterisk:13.18.3:*:*:*:*:*:*:*	1
95.216.205.179	cpe:2.3:a:sangoma:asterisk:13.18.3:*:*:*:*:*:*:*	0
94.237.29.104	cpe:2.3:a:digium:asterisk:*:*:*:*:*:*:*:*	1177
94.237.29.104	cpe:2.3:a:sangoma:asterisk:*:*:*:*:*:*:*:*	290
37.221.213.108	cpe:2.3:a:digium:asterisk:16.28.0:*:*:*:*:*:*:*	0
37.221.213.108	cpe:2.3:a:sangoma:asterisk:16.28.0:*:*:*:*:*:*:*	0
80.237.252.150	cpe:2.3:a:digium:asterisk:16.28.0:*:*:*:*:*:*:*	0
80.237.252.150	cpe:2.3:a:sangoma:asterisk:16.28.0:*:*:*:*:*:*:*	0
217.110.230.107	cpe:2.3:a:digium:asterisk:*:*:*:*:*:*:*:*	1177
217.110.230.107	cpe:2.3:a:sangoma:asterisk:*:*:*:*:*:*:*:*	290
5.9.90.170	cpe:2.3:a:sangoma:asterisk:13.23.1:*:*:*:*:*:*:*	0
144.202.24.189	cpe:2.3:a:sangoma:asterisk:15.7.4:*:*:*:*:*:*:*	0
136.248.96.204	cpe:2.3:a:digium:asterisk:*:*:*:*:*:*:*:*	1177
136.248.96.204	cpe:2.3:a:sangoma:asterisk:*:*:*:*:*:*:*:*	290
169.57.177.177	cpe:2.3:a:digium:asterisk:20.9.0:*:*:*:*:*:*:*	0
169.57.177.177	cpe:2.3:a:sangoma:asterisk:20.9.0:*:*:*:*:*:*:*	1
179.191.107.210	cpe:2.3:a:digium:asterisk:13.18.3:*:*:*:*:*:*:*	1
179.191.107.210	cpe:2.3:a:sangoma:asterisk:13.18.3:*:*:*:*:*:*:*	0
200.159.177.139	cpe:2.3:a:digium:asterisk:18.21.0:*:*:*:*:*:*:*	0
200.159.177.139	cpe:2.3:a:sangoma:asterisk:18.21.0:*:*:*:*:*:*:*	1
200.69.205.29	cpe:2.3:a:digium:asterisk:1.8.11:*:*:*:*:*:*:*	0
200.69.205.29	cpe:2.3:a:sangoma:asterisk:1.8.11:*:*:*:*:*:*:*	0
